Date,Price,Open,High,Low,Vol.,Change %
05/09/2023,6622.61,6615.73,6646.58,6594.45,76.80K,0.33%
05/08/2023,6600.74,6709.56,6750.06,6600.74,127.57K,-1.27%
05/05/2023,6685.66,6678.88,6706.22,6673.32,93.67K,0.02%
05/04/2023,6684.35,6612.14,6684.44,6612.14,115.24K,1.18%
05/03/2023,6606.69,6675.71,6675.71,6606.69,104.32K,-0.99%
05/02/2023,6672.69,6624.95,6673.44,6616.88,105.48K,0.72%
04/28/2023,6625.08,6592.14,6635.40,6587.41,235.77K,0.63%
04/27/2023,6583.68,6541.36,6597.83,6530.90,48.58K,0.66%
04/26/2023,6540.24,6584.86,6584.86,6512.98,134.32K,-0.81%
04/25/2023,6593.39,6595.51,6597.33,6575.04,112.59K,-0.08%
04/24/2023,6598.38,6523.85,6598.38,6522.20,99.21K,1.20%
04/21/2023,6520.44,6520.44,6520.44,6520.44,,0.00%
04/20/2023,6520.44,6466.68,6520.44,6453.27,69.87K,1.15%
04/19/2023,6446.35,6456.96,6468.63,6425.90,57.77K,-0.28%
04/18/2023,6464.72,6499.67,6499.67,6454.27,49.09K,-0.63%
04/17/2023,6505.62,6483.24,6505.62,6425.14,71.33K,0.37%
04/14/2023,6481.91,6445.55,6481.91,6445.55,78.96K,0.51%
04/13/2023,6448.87,6453.29,6453.29,6394.10,114.45K,-0.32%
